,Date,Open,High,Low,Close,Volume,Market_Cap
159,"Aug 27, 2019","10,372.83","10,381.33","10,087.30","10,185.50","14,762,609,503","14,762,609,503"
160,"Aug 26, 2019","10,126.30","10,512.33","10,126.30","10,370.82","18,438,654,080","18,438,654,080"
161,"Aug 25, 2019","10,160.74","10,304.62","10,008.79","10,138.52","14,153,856,610","14,153,856,610"
162,"Aug 24, 2019","10,407.64","10,418.02","9,982.30","10,159.96","15,451,030,650","15,451,030,650"
163,"Aug 23, 2019","10,136.31","10,442.44","10,078.19","10,407.97","15,627,023,886","15,627,023,886"
164,"Aug 22, 2019","10,142.52","10,233.00","9,831.46","10,131.06","17,097,508,856","17,097,508,856"
165,"Aug 21, 2019","10,764.57","10,798.73","9,962.72","10,138.05","19,473,084,768","19,473,084,768"
166,"Aug 20, 2019","10,916.35","10,947.04","10,618.96","10,763.23","15,053,082,175","15,053,082,175"
167,"Aug 19, 2019","10,350.28","10,916.05","10,313.20","10,916.05","16,038,264,603","16,038,264,603"
168,"Aug 18, 2019","10,233.01","10,487.07","10,119.09","10,345.81","12,999,813,869","12,999,813,869"
169,"Aug 17, 2019","10,358.72","10,452.62","10,086.70","10,231.74","13,778,035,685","13,778,035,685"
170,"Aug 16, 2019","10,319.42","10,524.35","9,855.48","10,374.34","20,228,207,096","20,228,207,096"
171,"Aug 15, 2019","10,038.42","10,437.41","9,675.32","10,311.55","22,899,115,082","22,899,115,082"
172,"Aug 14, 2019","10,889.49","10,889.56","10,028.14","10,051.70","19,990,838,300","19,990,838,300"
173,"Aug 13, 2019","11,385.05","11,420.05","10,830.33","10,895.83","16,681,503,537","16,681,503,537"
174,"Aug 12, 2019","11,528.19","11,528.19","11,320.95","11,382.62","13,647,198,229","13,647,198,229"
175,"Aug 11, 2019","11,349.74","11,523.58","11,248.29","11,523.58","15,774,371,518","15,774,371,518"
176,"Aug 10, 2019","11,861.56","11,915.66","11,323.90","11,354.02","18,125,355,447","18,125,355,447"
177,"Aug 09, 2019","11,953.47","11,970.46","11,709.75","11,862.94","18,339,989,960","18,339,989,960"
178,"Aug 08, 2019","11,954.04","11,979.42","11,556.17","11,966.41","19,481,591,730","19,481,591,730"
179,"Aug 07, 2019","11,476.19","12,036.99","11,433.70","11,941.97","22,194,988,641","22,194,988,641"
180,"Aug 06, 2019","11,811.55","12,273.82","11,290.73","11,478.17","23,635,107,660","23,635,107,660"
181,"Aug 05, 2019","10,960.74","11,895.09","10,960.74","11,805.65","23,875,988,832","23,875,988,832"
182,"Aug 04, 2019","10,821.63","11,009.21","10,620.28","10,970.18","16,530,894,787","16,530,894,787"
183,"Aug 03, 2019","10,519.28","10,946.78","10,503.50","10,821.73","15,352,685,061","15,352,685,061"
184,"Aug 02, 2019","10,402.04","10,657.95","10,371.01","10,518.17","17,489,094,082","17,489,094,082"
185,"Aug 01, 2019","10,077.44","10,446.92","9,922.02","10,399.67","17,165,337,858","17,165,337,858"
186,"Jul 31, 2019","9,604.05","10,085.63","9,598.10","10,085.63","16,631,520,648","16,631,520,648"
187,"Jul 30, 2019","9,522.33","9,701.76","9,437.34","9,607.42","13,829,811,132","13,829,811,132"
188,"Jul 29, 2019","9,548.18","9,681.65","9,472.95","9,519.15","13,791,445,323","13,791,445,323"
189,"Jul 28, 2019","9,491.63","9,575.55","9,252.30","9,552.86","13,738,687,093","13,738,687,093"
190,"Jul 27, 2019","9,871.16","10,167.32","9,411.52","9,477.68","16,817,809,536","16,817,809,536"
191,"Jul 26, 2019","9,913.13","9,916.52","9,717.98","9,870.30","14,495,714,483","14,495,714,483"
192,"Jul 25, 2019","9,809.10","10,154.25","9,773.96","9,911.84","15,821,952,090","15,821,952,090"
